,B,C,PB228,PB317,PB411,PB428,PB512,PB602,PB613,CB228,CB317,CB411,CB428,CB512,CB602,CB613,HB228,HB317,HB411,HB428,HB512,HB602,HB613,PC228,PC317,PC411,PC428,PC512,PC602,PC613,CC228,CC317,CC411,CC428,CC512,CC602,CC613,HC228,HC317,HC411,HC428,HC512,HC602,HC613,PBC228,PBC317,PBC411,PBC428,PBC512,PBC602,PBC613,CBC228,CBC317,CBC411,CBC428,CBC512,CBC602,CBC613,HBC228,HBC317,HBC411,HBC428,HBC512,HBC602,HBC613,PCK317,PCK411,PCK428,PCK512,PCK602,PCK613,PCK228,CCK317,CCK411,CCK428,CCK512,CCK602,CCK613,CCK228,HCK317,HCK411,HCK428,HCK512,HCK602,HCK613,HCK228,Kingdom,Phylum,Class,Order,Family,Genus,Species
Zotu46,0,0,256,56,9,33,1164,615,0,4,6,0,1,0,1,0,0,0,0,0,0,0,211,256,123,93,27,233,77,0,4,0,0,0,16,0,0,0,0,7,0,0,0,134,256,73,122,242,65,33,0,4,1,0,2,1,0,0,0,0,0,0,0,0,33,186,76,44,42,105,0,256,3,1,0,0,1,1,4,0,0,0,0,0,142,0,k__Fungi,,,,,,
Zotu928,0,0,9,14,0,0,2,4,0,0,1,0,0,3,0,0,0,3,0,0,0,0,1,9,21,0,21,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,9,15,0,7,104,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,,,,,,
Zotu3,0,0,1297,1600,1416,897,2057,3553,1886,35,105,273,214,584,298,348,1386,2008,1997,1123,1199,2372,1320,1297,4753,987,1348,2039,1512,723,35,314,526,567,862,240,410,1386,1602,1190,1880,1868,1855,2623,1297,643,1737,3751,5263,1811,1475,35,285,390,1105,678,534,290,1386,1857,1394,722,749,1206,1685,2773,1123,8940,2061,2214,1382,1297,159,100,137,292,284,2060,35,665,1123,640,1823,1204,1527,1386,k__Fungi,,,,,,
Zotu262,0,0,1,0,0,41,5,21,0,0,0,11,4,25,0,3,0,0,0,0,7,0,5,1,19,97,1,25,791,0,0,0,0,0,3,1,0,0,0,0,0,0,10,11,1,0,12,0,0,0,0,0,1,8,0,3,120,62,0,1,2,0,0,0,9,0,0,0,11,5,0,1,0,18,67,6,11,0,0,6,0,0,0,0,0,0,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Mycenaceae,g__Mycena,s__Mycena_rosea
Zotu179,0,0,42,36,218,65,160,39,1,63,47,36,33,24,6,20,0,2,5,62,16,4,32,42,160,71,110,41,202,0,63,1,2,14,4,0,5,0,2,14,4,7,2,11,42,428,375,96,56,23,0,63,5,13,13,8,5,3,0,6,6,9,11,2,45,39,182,63,117,39,0,42,8,105,4,16,12,6,63,3,0,8,10,8,9,0,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_sp
Zotu13,0,0,371,451,88,1246,256,76,236,26,89,71,84,39,30,2038,44,45,45,147,255,140,236,371,399,182,291,230,125,333,26,184,3975,2023,304,107,168,44,15,178,1445,261,155,365,371,358,87,334,180,145,237,26,1644,3595,3273,1314,726,1500,44,44,65,112,233,106,96,103,653,135,105,37,34,371,59,23,90,218,31,454,26,247,207,29,84,76,241,44,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Thelebolales,f__Pseudeurotiaceae,g__Geomyces,s__Geomyces_sp
Zotu202,0,0,47,396,0,5,41,23,10,1,0,0,0,0,0,0,45,112,0,20,34,25,51,47,97,1,374,49,5,12,1,0,0,0,0,0,0,45,4,1,1,33,20,21,47,130,0,195,46,1,7,1,0,0,2,0,2,2,45,14,0,30,24,14,57,58,0,0,31,3,1,47,8,0,17,6,3,3,1,90,0,43,60,9,62,45,k__Fungi,,,,,,
Zotu4501,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,k__Fungi,,,,,,
Zotu68,0,0,107,558,1681,575,167,34,0,0,0,0,2,0,0,0,0,0,0,2,0,1,162,107,232,139,309,137,4,0,0,0,0,0,0,0,0,0,2,18,16,9,2,93,107,393,103,349,322,41,34,0,0,0,0,1,0,0,0,1,1,3,0,2,228,122,32,13,107,12,0,107,0,0,0,0,0,0,0,0,0,0,0,0,1057,0,k__Fungi,p__Ascomycota,c__Sordariomycetes,,,,
Zotu3365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi,p__Mortierellomycota,c__Mortierellomycetes,o__Mortierellales,f__Mortierellaceae,g__Mortierella,s__Mortierella_sp
